sample_id	cheese_full_type	animal_origin	milk_treatment	cheese_classification	country	region	colection_year	clinical_source	clinical_freq
SRR8767791.fa	 cheese				Chile		2016		
SRR8767792.fa	 cheese				Chile		2016		
SRR8767794.fa	 cheese				Chile		2016		
SRR8767795.fa	 cheese				Chile		2016		
SRR8767797.fa	 cheese				Chile		2016		
SRR8767799.fa	 cheese				Chile		2016		
SRR8837400.fa	 cheese				Chile		2016		
SRR8837414.fa	 cheese				Chile		2016		
SRR8837515.fa	 cheese				Chile		2016		
SRR8837524.fa	 cheese				Chile		2016		
SRR8838736.fa	 cheese				Chile		2016		
SRR8838742.fa	 cheese				Chile		2016		
SRR8838745.fa	 cheese				Chile		2016		
SRR8838748.fa	 cheese				Chile		2016		
SRR8838749.fa	 cheese				Chile		2016		
SRR8838750.fa	 cheese				Chile		2016		
SRR9335703.fa	 queso fresco cotija	cow			USA	New York	2019		
SRR955385.fa	 cheese				USA	Minnesota	2013		
SRR955387.fa	 cheese				USA	Minnesota	2013		
SRR9732314.fa	 cheese				Uruguay		2011		
SRR975370.fa	 goat cheese	goat			Spain	 	2009		
SRR3659467.fa	mexican white cheese				Mexico		2004		
SRR5378820.fa	raw milk cheese				USA	New York	2017		
SRR6805490.fa	mexican soft cheese				USA	New Jersey	2009		
ERR1100936.fa	Human				France			CNS infection	65.6
ERR1100938.fa	Human				France			CNS infection	65.6
ERR1100943.fa	Human							CNS infection	65.6
ERR1100965.fa	Animal				France				65.6
ERR1100970.fa	Animal				France				50.9
ERR1100909.fa	Human				France			MN infection	50.9
ERR1100934.fa	Human								50.9
ERR1100944.fa	Human				France			MN infection	52.2
ERR1100935.fa	Human				France			CNS infection	42.5
ERR1100910.fa	Animal				France				42.5
ERR1100930.fa	Human				France			CNS infection	-
ERR1100939.fa	Human				France			MN infection	71.3
ERR1100967.fa	Animal				France				71.3
ERR1100911.fa	Human				France			MN infection	71.3
ERR1100912.fa	Human				France			MN infection	37.1
ERR1100968.fa	Animal								37.1
ERR1100921.fa	Animal				France				45.2
ERR1100941.fa	Human				France			Bacteremia	45.2
